[16:21:26] [[758,0,1,5,1,5,0,0,0,2,6,45.0093,-90.0007,89.9962,-89.9815,-89.9973,0.0102997,3,6,-347.318,-553.367,206.464,0.0140767,-0.00274405,-45.001,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[759,0,1,5,1,5,0,0,0,2,6,45.0117,-90.0024,89.9955,-89.9815,-89.9973,0.00892639,3,6,-347.295,-553.386,206.491,0.0116734,-0.00274476,-44.9973,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[760,0,1,5,1,5,0,0,0,2,6,45.0117,-90.0024,89.9955,-89.9815,-89.9973,0.00892639,3,6,-347.295,-553.386,206.491,0.0116734,-0.00274476,-44.9973,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[761,0,1,5,1,5,0,0,0,2,6,45.01,-89.999,89.9973,-89.9808,-89.9973,0.011673,3,6,-347.306,-553.361,206.43,0.01751,-0.00274301,-45.0017,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[762,0,1,5,1,5,0,0,0,2,6,45.01,-89.999,89.9973,-89.9808,-89.9973,0.011673,3,6,-347.306,-553.361,206.43,0.01751,-0.00274301,-45.0017,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[763,0,1,5,1,5,0,0,0,2,6,45.0106,-90.0021,89.9935,-89.9804,-89.9973,0.00961304,3,6,-347.311,-553.383,206.505,0.0109868,-0.00274474,-44.999,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[764,0,1,5,1,5,0,0,0,2,6,45.0096,-89.9983,89.9959,-89.9791,-89.9959,0.00892639,3,6,-347.298,-553.369,206.43,0.0185401,-0.00411698,-44.9993,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[765,0,1,5,1,5,0,0,0,2,6,45.0096,-89.9983,89.9959,-89.9791,-89.9959,0.00892639,3,6,-347.298,-553.369,206.43,0.0185401,-0.00411698,-44.9993,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[766,0,1,5,1,5,0,0,0,2,6,45.0082,-90.0017,89.9969,-89.9804,-89.9955,0.0120163,3,6,-347.314,-553.357,206.463,0.0147638,-0.0044601,-45.0038,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[767,0,1,5,1,5,0,0,0,2,6,45.0082,-90.0017,89.9969,-89.9804,-89.9955,0.0120163,3,6,-347.314,-553.357,206.463,0.0147638,-0.0044601,-45.0038,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[768,0,1,5,1,5,0,0,0,2,6,45.011,-90.0027,89.9955,-89.9818,-89.9983,0.00720978,3,6,-347.305,-553.381,206.496,0.0109865,-0.00171523,-44.9962,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[769,0,1,5,1,5,0,0,0,2,6,45.011,-90.0014,89.9983,-89.9801,-89.9959,0.0113297,3,6,-347.281,-553.366,206.442,0.0168236,-0.00411655,-45.0003,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
